,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id,party_id,party_id,party_id
164,1.0,10.0,4.0,10.0,10.0,10.0,9.0,10.0,9.0,2014.0,2014.0,2014.0,2014.0
165,0.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,2007.0,2007.0,2007.0,2007.0
166,1.0,10.0,4.0,10.0,10.0,10.0,9.0,10.0,9.0,2005.0,2005.0,2005.0,2005.0
167,5.0,1.0,7.0,0.0,2.0,0.0,6.0,7.0,0.0,2018.0,2018.0,2018.0,2018.0
168,10.0,6.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,2008.0,2008.0,2008.0,2008.0
169,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
170,6.0,4.0,5.0,6.0,4.0,5.0,7.0,7.0,7.0,2010.0,2010.0,2010.0,2010.0
171,3.0,8.0,1.0,8.0,7.0,7.0,2.0,1.0,9.0,2003.0,2003.0,2003.0,2003.0
172,4.0,6.0,3.0,5.0,3.0,4.0,5.0,5.0,8.0,2004.0,2004.0,2004.0,2004.0
173,4.0,7.0,2.0,7.0,6.0,6.0,4.0,5.0,9.0,2017.0,2017.0,2017.0,2017.0
174,5.0,8.0,2.0,10.0,9.0,8.0,6.0,6.0,10.0,2014.0,2014.0,2014.0,2014.0
175,2.0,8.0,1.0,10.0,9.0,10.0,1.0,1.0,10.0,2007.0,2007.0,2007.0,2007.0
176,3.0,7.0,3.0,10.0,8.0,9.0,3.0,3.0,10.0,2005.0,2005.0,2005.0,2005.0
177,8.0,0.0,6.0,3.0,3.0,1.0,8.0,9.0,3.0,2018.0,2018.0,2018.0,2018.0
178,7.0,1.0,8.0,6.0,5.0,6.0,9.0,9.0,4.0,2008.0,2008.0,2008.0,2008.0
179,2.0,,2.0,6.0,6.0,6.0,4.0,3.0,,2019.0,2019.0,2019.0,2019.0
180,8.0,9.0,6.0,9.0,8.0,9.0,7.0,8.0,7.0,2010.0,2010.0,2010.0,2010.0
181,6.0,8.0,3.0,5.0,7.0,6.0,4.0,5.0,7.0,2003.0,2003.0,2003.0,2003.0
182,8.0,9.0,4.0,3.0,6.0,5.0,5.0,6.0,5.0,2004.0,2004.0,2004.0,2004.0
183,,,,,,,,,,2017.0,2017.0,2017.0,2017.0
184,,,,10.0,10.0,10.0,10.0,,10.0,2014.0,2014.0,2014.0,2014.0
185,,10.0,,10.0,10.0,10.0,10.0,4.0,10.0,2007.0,2007.0,2007.0,2007.0
186,,10.0,,10.0,10.0,10.0,10.0,4.0,10.0,2005.0,2005.0,2005.0,2005.0
187,5.0,6.0,5.0,2.0,6.0,1.0,4.0,,2.0,2018.0,2018.0,2018.0,2018.0
188,9.0,9.0,7.0,5.0,8.0,7.0,8.0,9.0,8.0,2008.0,2008.0,2008.0,2008.0
189,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
190,8.0,9.0,6.0,9.0,8.0,8.0,7.0,8.0,8.0,2010.0,2010.0,2010.0,2010.0
191,6.0,8.0,3.0,5.0,7.0,6.0,4.0,4.0,6.0,2003.0,2003.0,2003.0,2003.0
