,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
170,6,4,5,6,4,5,7,7,7,2010.0,2010.0,2010.0
171,3,8,1,8,7,7,2,1,9,2003.0,2003.0,2003.0
172,4,6,3,5,3,4,5,5,8,2004.0,2004.0,2004.0
173,4,7,2,7,6,6,4,5,9,2017.0,2017.0,2017.0
174,5,8,2,10,9,8,6,6,10,2014.0,2014.0,2014.0
175,2,8,1,10,9,10,1,1,10,2007.0,2007.0,2007.0
176,3,7,3,10,8,9,3,3,10,2005.0,2005.0,2005.0
177,8,0,6,3,3,1,8,9,3,2018.0,2018.0,2018.0
178,7,1,8,6,5,6,9,9,4,2008.0,2008.0,2008.0
179,2,5,2,6,6,6,4,3,3,2019.0,2019.0,2019.0
180,8,9,6,9,8,9,7,8,7,2010.0,2010.0,2010.0
181,6,8,3,5,7,6,4,5,7,2003.0,2003.0,2003.0
182,8,9,4,3,6,5,5,6,5,2004.0,2004.0,2004.0
183,3,8,6,5,6,3,4,4,6,2017.0,2017.0,2017.0
184,3,9,5,10,10,10,10,5,10,2014.0,2014.0,2014.0
185,1,10,2,10,10,10,10,4,10,2007.0,2007.0,2007.0
186,5,10,6,10,10,10,10,4,10,2005.0,2005.0,2005.0
187,5,6,5,2,6,1,4,3,2,2018.0,2018.0,2018.0
188,9,9,7,5,8,7,8,9,8,2008.0,2008.0,2008.0
189,8,8,5,8,9,8,7,6,7,2019.0,2019.0,2019.0
190,8,9,6,9,8,8,7,8,8,2010.0,2010.0,2010.0
191,6,8,3,5,7,6,4,4,6,2003.0,2003.0,2003.0
192,8,9,4,3,6,4,5,6,5,2004.0,2004.0,2004.0
193,3,6,2,7,10,8,7,2,8,2017.0,2017.0,2017.0
194,3,9,3,10,10,10,10,4,10,2014.0,2014.0,2014.0
195,5,9,3,10,10,10,10,4,10,2007.0,2007.0,2007.0
196,6,10,5,10,10,10,10,4,10,2005.0,2005.0,2005.0
197,6,6,5,2,6,1,5,7,1,2018.0,2018.0,2018.0
198,9,9,7,5,9,8,8,9,9,2008.0,2008.0,2008.0
199,3,5,4,3,3,0,7,4,2,2019.0,2019.0,2019.0
200,5,5,5,5,4,3,7,6,5,2010.0,2010.0,2010.0
201,3,5,7,5,5,6,6,3,7,2003.0,2003.0,2003.0
202,5,2,5,4,2,3,5,5,5,2004.0,2004.0,2004.0
203,3,5,6,9,7,10,6,3,9,2017.0,2017.0,2017.0
204,3,4,6,9,8,10,7,3,10,2014.0,2014.0,2014.0
205,0,8,1,9,9,10,9,3,10,2007.0,2007.0,2007.0
206,1,4,1,9,7,10,7,3,10,2005.0,2005.0,2005.0
207,5,5,5,1,1,1,6,5,0,2018.0,2018.0,2018.0
208,8,5,2,1,1,1,7,6,1,2008.0,2008.0,2008.0
209,4,5,2,3,7,4,2,2,3,2019.0,2019.0,2019.0
210,7,8,4,5,10,6,8,4,7,3101.0,3101.0,3101.0
211,2,7,2,2,10,2,4,3,2,3102.0,3102.0,3102.0
212,2,5,4,7,10,9,8,7,10,3115.0,3115.0,3115.0
213,7,9,6,0,8,1,5,8,3,3105.0,3105.0,3105.0
214,1,3,1,5,10,6,7,2,7,3103.0,3103.0,3103.0
215,7,8,6,2,8,2,7,8,6,3104.0,3104.0,3104.0
216,5,6,0,9,8,6,6,2,7,3108.0,3108.0,3108.0
217,2,2,0,0,1,1,3,2,5,3110.0,3110.0,3110.0
218,1,8,1,7,10,8,10,3,10,3107.0,3107.0,3107.0
219,2,7,0,0,3,1,1,2,2,3116.0,3116.0,3116.0
220,3,6,0,3,7,2,6,3,7,3117.0,3117.0,3117.0
221,8,8,7,0,7,1,3,7,1,3118.0,3118.0,3118.0
222,2,3,4,0,7,1,4,7,1,3106.0,3106.0,3106.0
